Path	Red F1
LOSS0.21_DBS3.66_CHS4650.9_LATENT8_STDEV0.05_BS128_E5_LR0.01	0.5465	
LOSS0.22_DBS3.7_CHS4555.38_LATENT8_STDEV0.05_BS128_E20_LR0.01	0.533	
LOSS0.23_DBS3.68_CHS4597.69_LATENT8_STDEV0.05_BS128_E10_LR0.01	0.2322	
LOSS0.24_DBS3.87_CHS4171.08_LATENT8_STDEV0.05_BS128_E1_LR0.01	0.5395	
LOSS0.29_DBS3.89_CHS4129.91_LATENT8_STDEV0.05_BS128_E5_LR0.005	0.589	
LOSS0.31_DBS4.19_CHS3540.8_LATENT8_STDEV0.1_BS128_E10_LR0.01	0.6684	
LOSS0.33_DBS6.89_CHS1309.78_LATENT8_STDEV0.1_BS128_E5_LR0.01	0.0	
LOSS0.34_DBS3.88_CHS4130.15_LATENT8_STDEV0.05_BS128_E10_LR0.005	0.4214	
LOSS0.35_DBS3.81_CHS4278.76_LATENT8_STDEV0.1_BS128_E20_LR0.01	0.3887	
LOSS0.35_DBS3.85_CHS4219.94_LATENT8_STDEV0.05_BS128_E1_LR0.005	0.6016	
LOSS0.36_DBS4.0_CHS3891.59_LATENT8_STDEV0.1_BS128_E20_LR0.005	0.5629	
LOSS0.36_DBS6.77_CHS1355.99_LATENT8_STDEV0.05_BS128_E20_LR0.005	0.0	
LOSS0.37_DBS3.9_CHS4105.47_LATENT8_STDEV0.1_BS128_E1_LR0.005	0.5333	
LOSS0.38_DBS3.92_CHS4067.33_LATENT8_STDEV0.1_BS128_E5_LR0.005	0.411	
LOSS0.38_DBS4.26_CHS3432.95_LATENT8_STDEV0.1_BS128_E1_LR0.01	0.229	
LOSS0.39_DBS3.77_CHS4380.89_LATENT8_STDEV0.1_BS128_E10_LR0.005	0.6082	
LOSS0.69_DBS3.57_CHS4904.19_LATENT8_STDEV0.05_BS128_E10_LR0.001	0.624	
LOSS0.73_DBS3.69_CHS4589.65_LATENT8_STDEV0.05_BS128_E20_LR0.001	0.6535	
LOSS0.7_DBS3.74_CHS4553.66_LATENT8_STDEV0.05_BS128_E5_LR0.001	0.3047	
LOSS0.82_DBS6.49_CHS1476.29_LATENT8_STDEV0.1_BS128_E20_LR0.001	0.0	
LOSS0.84_DBS3.81_CHS4294.33_LATENT8_STDEV0.1_BS128_E10_LR0.001	0.3976	
LOSS0.84_DBS5.39_CHS2228.13_LATENT8_STDEV0.05_BS128_E1_LR0.001	0.4444	
LOSS0.85_DBS4.37_CHS3375.41_LATENT8_STDEV0.1_BS128_E5_LR0.001	0.229	
LOSS0.92_DBS6.48_CHS1523.56_LATENT8_STDEV0.1_BS128_E1_LR0.001	0.3187	
LOSS0.93_DBS6.74_CHS1368.7_LATENT8_STDEV0.5_BS128_E5_LR0.01	0.0	
LOSS0.93_DBS7.02_CHS1263.79_LATENT8_STDEV0.5_BS128_E1_LR0.01	0.2502	
LOSS0.96_DBS6.79_CHS1350.47_LATENT8_STDEV0.5_BS128_E10_LR0.01	0.0	
LOSS0.98_DBS3.98_CHS4063.66_LATENT8_STDEV0.1_BS128_E1_LR0.0005	0.229	
LOSS0.98_DBS6.83_CHS1332.48_LATENT8_STDEV0.5_BS128_E20_LR0.005	0.0	
LOSS1.02_DBS6.92_CHS1299.71_LATENT8_STDEV0.5_BS128_E5_LR0.005	0.0206	
LOSS1.03_DBS7.12_CHS1229.08_LATENT8_STDEV0.5_BS128_E1_LR0.005	0.374	
LOSS1.06_DBS6.82_CHS1337.71_LATENT8_STDEV0.5_BS128_E20_LR0.01	0.0	
LOSS1.09_DBS6.57_CHS1443.33_LATENT8_STDEV0.5_BS128_E10_LR0.005	0.0	
LOSS1.22_DBS3.97_CHS4099.35_LATENT8_STDEV0.05_BS128_E5_LR0.0005	0.369	
LOSS1.24_DBS4.04_CHS3901.75_LATENT8_STDEV0.1_BS128_E10_LR0.0005	0.2724	
LOSS1.24_DBS5.26_CHS2381.13_LATENT8_STDEV0.05_BS128_E1_LR0.0005	0.229	
LOSS1.27_DBS3.86_CHS4217.95_LATENT8_STDEV0.05_BS128_E10_LR0.0005	0.4511	
LOSS1.35_DBS4.08_CHS3752.13_LATENT8_STDEV0.1_BS128_E20_LR0.0005	0.5921	
LOSS1.35_DBS4.19_CHS3666.83_LATENT8_STDEV0.1_BS128_E5_LR0.0005	0.2448	
LOSS1.44_DBS7.01_CHS1287.77_LATENT8_STDEV0.5_BS128_E10_LR0.001	0.229	
LOSS1.49_DBS7.0_CHS1270.46_LATENT8_STDEV0.5_BS128_E20_LR0.001	0.0	
LOSS1.51_DBS4.11_CHS3964.68_LATENT8_STDEV0.05_BS128_E20_LR0.0005	0.3047	
LOSS1.53_DBS7.24_CHS1207.27_LATENT8_STDEV0.5_BS128_E1_LR0.001	0.3665	
LOSS1.57_DBS7.16_CHS1271.25_LATENT8_STDEV0.5_BS128_E5_LR0.001	0.2266	
LOSS1.75_DBS7.01_CHS1309.59_LATENT8_STDEV0.5_BS128_E10_LR0.0005	0.2201	
LOSS1.95_DBS6.65_CHS1408.9_LATENT8_STDEV0.5_BS128_E20_LR0.0005	0.0103	
LOSS2.23_DBS5.79_CHS1927.7_LATENT8_STDEV0.5_BS128_E1_LR0.0005	0.2314	
LOSS2.63_DBS6.67_CHS1406.32_LATENT8_STDEV0.5_BS128_E5_LR0.0005	0.2363	